Id,SalePrice
1461,131581.562017
1462,154746.653168
1463,181511.011337
1464,185826.285657
1465,185993.189232
1466,180974.115026
1467,164445.650271
1468,173720.737618
1469,179513.279122
1470,117182.617204
1471,193111.96431
1472,95260.6481153
1473,99680.7286461
1474,153580.05143
1475,110605.465944
1476,364833.03517
1477,241712.012343
1478,315618.503261
1479,263637.320901
1480,471847.771974
1481,300678.85048
1482,203116.673462
1483,184134.205999
1484,161797.518278
1485,164449.856441
1486,198986.335228
1487,302873.30611
1488,221281.158364
1489,206357.525032
1490,229741.910002
1491,188607.811481
1492,94141.9359491
1493,175236.900106
1494,289056.787039
1495,285640.784189
1496,239695.271122
1497,182740.430035
1498,152659.281438
1499,150688.481025
1500,158748.503956
1501,171886.567847
1502,143383.251634
1503,243114.143225
1504,224580.660388
1505,217141.92784
1506,207864.520523
1507,252530.747717
1508,207550.949206
1509,169585.284878
1510,151726.218158
1511,153499.27721
1512,171652.080076
1513,158243.634048
1514,152269.688667
1515,225120.940139
1516,165001.722501
1517,149347.800012
1518,138881.05975
1519,225707.26307
1520,138368.194878
1521,147364.620869
1522,167953.903653
1523,113675.198296
1524,122851.478726
1525,131533.825711
1526,129244.7897
1527,99222.6260813
1528,124660.775045
1529,141654.969791
1530,160521.875647
1531,147484.706176
1532,102554.160319
1533,142411.935691
1534,112273.832678
1535,156626.957911
1536,118731.615296
1537,73126.0309127
1538,139043.24647
1539,211492.16599
1540,115836.048358
1541,150701.463532
1542,141507.283181
1543,173301.419803
1544,77379.5319324
1545,101835.675108
1546,127483.252427
1547,132557.408751
1548,127304.140968
1549,117244.153711
1550,142574.113278
1551,117919.653839
1552,159384.41512
1553,150546.021561
1554,101268.928537
1555,170943.603268
1556,96382.2428166
1557,106524.00856
1558,88908.0208035
1559,119004.802218
1560,139966.444805
1561,158555.081708
1562,122344.175577
1563,125987.085718
1564,162145.936287
1565,153971.597442
1566,212591.913339
1567,81633.4809277
1568,228122.204822
1569,147483.594019
1570,135132.746304
1571,130895.269262
1572,147002.364052
1573,239011.045842
1574,105099.673582
1575,213107.893099
1576,246463.269619
1577,203561.048988
1578,152013.457436
1579,140767.938271
1580,186226.306377
1581,138020.615628
1582,131900.129765
1583,320933.509593
1584,235658.659764
1585,138984.904959
1586,68311.8387721
1587,110285.23432
1588,151601.792707
1589,104904.614504
1590,129827.886399
1591,105104.769652
1592,117418.006506
1593,119912.963719
1594,138026.039739
1595,127836.100474
1596,226742.444812
1597,166206.451975
1598,185905.173996
1599,142884.446203
1600,169146.68077
1601,78290.2477801
1602,119407.011768
1603,89484.167451
1604,276917.789764
1605,243867.4001
1606,161291.76795
1607,175104.992917
1608,211234.473447
1609,198694.797275
1610,160265.942301
1611,146721.61169
1612,180603.17169
1613,178638.363778
1614,115803.409747
1615,83590.8968677
1616,80994.2237277
1617,87051.35753
1618,127671.314966
1619,130523.797813
1620,157482.65503
1621,139322.426688
1622,142075.853953
1623,286007.60477
1624,247674.306202
1625,129308.14397
1626,165022.641853
1627,184872.165601
1628,279836.279862
1629,178334.604738
1630,303556.880035
1631,197910.492642
1632,228689.787549
1633,155952.650174
1634,191290.19031
1635,182091.517342
1636,163891.795738
1637,195716.545859
1638,200118.639514
1639,180607.329915
1640,231548.529853
1641,180254.2395
1642,219949.726843
1643,222555.159028
1644,218282.651202
1645,184087.157674
1646,157595.838291
1647,156919.775321
1648,144247.865088
1649,139045.110895
1650,118735.851773
1651,115440.957987
1652,93466.1780015
1653,96083.8758708
1654,158152.095801
1655,138227.990261
1656,152362.878182
1657,158306.641863
1658,158941.755442
1659,122162.87949
1660,144528.745665
1661,456286.989052
1662,379582.779138
1663,364767.393098
1664,448300.819929
1665,320177.893141
1666,323860.119328
1667,354996.022793
1668,319609.551671
1669,305083.189937
1670,348198.35178
1671,258679.990695
1672,461164.628921
1673,290211.265159
1674,245799.986946
1675,200054.388937
1676,198122.491692
1677,215208.109375
1678,453774.25473
1679,397651.350725
1680,278135.939901
1681,202809.506875
1682,307755.898618
1683,187989.514165
1684,169313.188801
1685,174103.056372
1686,171853.212983
1687,159455.923343
1688,190546.800608
1689,189959.679884
1690,181324.976348
1691,161011.717178
1692,270274.047096
1693,163343.76625
1694,182769.540743
1695,169161.820468
1696,288253.935416
1697,166556.852854
1698,330863.140869
1699,323152.180102
1700,240411.924994
1701,254654.201084
1702,252435.117484
1703,253213.195636
1704,283525.287016
1705,212552.669844
1706,437531.024708
1707,210275.487157
1708,218561.013738
1709,269901.828873
1710,216153.946864
1711,273642.976594
1712,229433.27519
1713,280806.272158
1714,215367.897453
1715,204983.813278
1716,188181.456056
1717,156775.119252
1718,125591.85714
1719,204450.458952
1720,242827.152879
1721,152542.871687
1722,119569.853327
1723,154926.185974
